"1051,HEGEMANHALL,HEGEMANFL 1B,HEGEMAN105,HEGEMAN105,HEGEMAN105-1,Double,,CoEd,24-25 SubstanceFree,"
"1052,HEGEMANHALL,HEGEMANFL 1B,HEGEMAN105,HEGEMAN105,HEGEMAN105-2,Double,,CoEd,24-25 SubstanceFree,"
"1053,HEGEMANHALL,HEGEMANFL 1B,HEGEMAN106,HEGEMAN106 106A,HEGEMAN106 106A-1,Single(Suite/Apartment),3,CoEd,24-25 SubstanceFree,"
"1054,HEGEMANHALL,HEGEMANFL 1B,HEGEMAN106,HEGEMAN106 106B,HEGEMAN106 106B-1,Single(Suite/Apartment),3,CoEd,24-25 SubstanceFree,"
"1055,HEGEMANHALL,HEGEMANFL 1B,HEGEMAN106,HEGEMAN106 106C,HEGEMAN106 106C-1,Single(Suite/Apartment),3,CoEd,24-25 SubstanceFree,"
"1056,HEGEMANHALL,HEGEMANFL 1B,HEGEMAN107,HEGEMAN107 107A,HEGEMAN107 107A-1,Single(Suite/Apartment),3,CoEd,24-25 SubstanceFree,"
"1057,HEGEMANHALL,HEGEMANFL 1B,HEGEMAN107,HEGEMAN107 107B,HEGEMAN107 107B-1,Single(Suite/Apartment),3,CoEd,24-25 SubstanceFree,"
"1058,HEGEMANHALL,HEGEMANFL 1B,HEGEMAN107,HEGEMAN107 107C,HEGEMAN107 107C-1,Single(Suite/Apartment),3,CoEd,24-25 SubstanceFree,"
"1059,HEGEMANHALL,HEGEMANFL 1C,HEGEMAN108,HEGEMAN108 108A,HEGEMAN108 108A-1,Single(Suite/Apartment),3,CoEd,24-25 SubstanceFree,"
"1060,HEGEMANHALL,HEGEMANFL 1C,HEGEMAN108,HEGEMAN108 108B,HEGEMAN108 108B-1,Single(Suite/Apartment),3,CoEd,24-25 SubstanceFree,"
"1061,HEGEMANHALL,HEGEMANFL 1C,HEGEMAN108,HEGEMAN108 108C,HEGEMAN108 108C-1,Single(Suite/Apartment),3,CoEd,24-25 SubstanceFree,"
"1062,HEGEMANHALL,HEGEMANFL 1C,HEGEMAN109,HEGEMAN109 109A,HEGEMAN109 109A-1,Single(Suite/Apartment),3,CoEd,24-25 SubstanceFree,"
"1063,HEGEMANHALL,HEGEMANFL 1C,HEGEMAN109,HEGEMAN109 109B,HEGEMAN109 109B-1,Single(Suite/Apartment),3,CoEd,24-25 SubstanceFree,"
"1064,HEGEMANHALL,HEGEMANFL 1C,HEGEMAN109,HEGEMAN109 109C,HEGEMAN109 109C-1,Single(Suite/Apartment),3,CoEd,24-25 SubstanceFree,"
"1065,HEGEMANHALL,HEGEMANFL 1D,HEGEMAN110,HEGEMAN110 110A,HEGEMAN110 110A-1,Single(Suite/Apartment),3,CoEd,24-25 SubstanceFree,"
"1066,HEGEMANHALL,HEGEMANFL 1D,HEGEMAN110,HEGEMAN110 110B,HEGEMAN110 110B-1,Single(Suite/Apartment),3,CoEd,24-25 SubstanceFree,"
"1067,HEGEMANHALL,HEGEMANFL 1D,HEGEMAN110,HEGEMAN110 110C,HEGEMAN110 110C-1,Single(Suite/Apartment),3,CoEd,24-25 SubstanceFree,"
"1068,HEGEMANHALL,HEGEMANFL 1D,HEGEMAN111,HEGEMAN111 111A,HEGEMAN111 111A-1,Single(Suite/Apartment),3,CoEd,24-25 SubstanceFree,"
"1069,HEGEMANHALL,HEGEMANFL 1D,HEGEMAN111,HEGEMAN111 111B,HEGEMAN111 111B-1,Single(Suite/Apartment),3,CoEd,24-25 SubstanceFree,"
"1070,HEGEMANHALL,HEGEMANFL 1D,HEGEMAN111,HEGEMAN111 111C,HEGEMAN111 111C-1,Single(Suite/Apartment),3,CoEd,24-25 SubstanceFree,"
"1071,HEGEMANHALL,HEGEMANFL 1E,HEGEMAN112,HEGEMAN112 112A,HEGEMAN112 112A-1,Single(Suite/Apartment),3,CoEd,24-25 SpringGeneralSelection,"
"1072,HEGEMANHALL,HEGEMANFL 1E,HEGEMAN112,HEGEMAN112 112B,HEGEMAN112 112B-1,Single(Suite/Apartment),3,CoEd,24-25 SpringGeneralSelection,"
"1073,HEGEMANHALL,HEGEMANFL 1E,HEGEMAN112,HEGEMAN112 112C,HEGEMAN112 112C-1,Single(Suite/Apartment),3,CoEd,24-25 SpringGeneralSelection,"
"1074,HEGEMANHALL,HEGEMANFL 1E,HEGEMAN113,HEGEMAN113 113A,HEGEMAN113 113A-1,Single(Suite/Apartment),3,CoEd,24-25 SpringGeneralSelection,"
"1075,HEGEMANHALL,HEGEMANFL 1E,HEGEMAN113,HEGEMAN113 113B,HEGEMAN113 113B-1,Single(Suite/Apartment),3,CoEd,24-25 SpringGeneralSelection,"
"1076,HEGEMANHALL,HEGEMANFL 1E,HEGEMAN113,HEGEMAN113 113C,HEGEMAN113 113C-1,Single(Suite/Apartment),3,CoEd,24-25 SpringGeneralSelection,"
"1077,HEGEMANHALL,HEGEMANFL 1E,HEGEMAN114,HEGEMAN114,HEGEMAN114-1,Single,,CoEd,24-25 SpringGeneralSelection,"
"1078,HEGEMANHALL,HEGEMANFL 1E,HEGEMAN116,HEGEMAN116 116A,HEGEMAN116 116A-1,Single(Suite/Apartment),3,CoEd,24-25 SpringGeneralSelection,"
"1079,HEGEMANHALL,HEGEMANFL 1E,HEGEMAN116,HEGEMAN116 116B,HEGEMAN116 116B-1,Single(Suite/Apartment),3,CoEd,24-25 SpringGeneralSelection,"
"1080,HEGEMANHALL,HEGEMANFL 1E,HEGEMAN116,HEGEMAN116 116C,HEGEMAN116 116C-1,Single(Suite/Apartment),3,CoEd,24-25 SpringGeneralSelection,"
"1081,HEGEMANHALL,HEGEMANFL 2A,HEGEMAN201,HEGEMAN201 201C,HEGEMAN201 201C-1,Single(Suite/Apartment),3,Female,24-25 SubstanceFree,"

",A,B,C,D,E,F,G,H,I,"
"1082,HEGEMANHALL,HEGEMANFL 2A,HEGEMAN201,HEGEMAN201 201D,HEGEMAN201 201D-1,Single(Suite/Apartment),3,Female,24-25 SubstanceFree,"
"1083,HEGEMANHALL,HEGEMANFL 2A,HEGEMAN202,HEGEMAN202,HEGEMAN202-1,Double,,CoEd,24-25 SubstanceFree,"
"1084,HEGEMANHALL,HEGEMANFL 2A,HEGEMAN202,HEGEMAN202,HEGEMAN202-2,Double,,CoEd,24-25 SubstanceFree,"
"1085,HEGEMANHALL,HEGEMANFL 2A,HEGEMAN203,HEGEMAN203 203A,HEGEMAN203 203A-1,Single(Suite/Apartment),3,CoEd,24-25 SubstanceFree,"
"1086,HEGEMANHALL,HEGEMANFL 2A,HEGEMAN203,HEGEMAN203 203C,HEGEMAN203 203C-1,Single(Suite/Apartment),3,CoEd,24-25 SubstanceFree,"
"1087,HEGEMANHALL,HEGEMANFL 2A,HEGEMAN203,HEGEMAN203 203E,HEGEMAN203 203E-1,Single(Suite/Apartment),3,CoEd,24-25 SubstanceFree,"
"1088,HEGEMANHALL,HEGEMANFL 2B,HEGEMAN204,HEGEMAN204 204A,HEGEMAN204 204A-1,Single(Suite/Apartment),3,CoEd,24-25 SubstanceFree,"
"1089,HEGEMANHALL,HEGEMANFL 2B,HEGEMAN204,HEGEMAN204 204C,HEGEMAN204 204C-1,Single(Suite/Apartment),3,CoEd,24-25 SubstanceFree,"
"1090,HEGEMANHALL,HEGEMANFL 2B,HEGEMAN204,HEGEMAN204 204E,HEGEMAN204 204E-1,Single(Suite/Apartment),3,CoEd,24-25 SubstanceFree,"
"1091,HEGEMANHALL,HEGEMANFL 2B,HEGEMAN205,HEGEMAN205,HEGEMAN205-1,Double,,CoEd,24-25 SubstanceFree,"
"1092,HEGEMANHALL,HEGEMANFL 2B,HEGEMAN205,HEGEMAN205,HEGEMAN205-2,Double,,CoEd,24-25 SubstanceFree,"
"1093,HEGEMANHALL,HEGEMANFL 2B,HEGEMAN206,HEGEMAN206 206A,HEGEMAN206 206A-1,Single(Suite/Apartment),3,CoEd,24-25 SubstanceFree,"
"1094,HEGEMANHALL,HEGEMANFL 2B,HEGEMAN206,HEGEMAN206 206B,HEGEMAN206 206B-1,Single(Suite/Apartment),3,CoEd,24-25 SubstanceFree,"
"1095,HEGEMANHALL,HEGEMANFL 2B,HEGEMAN206,HEGEMAN206 206C,HEGEMAN206 206C-1,Single(Suite/Apartment),3,CoEd,24-25 SubstanceFree,"
"1096,HEGEMANHALL,HEGEMANFL 2B,HEGEMAN207,HEGEMAN207,HEGEMAN207-1,Double,,CoEd,24-25 SubstanceFree,"
"1097,HEGEMANHALL,HEGEMANFL 2B,HEGEMAN207,HEGEMAN207,HEGEMAN207-2,Double,,CoEd,24-25 SubstanceFree,"
"1098,HEGEMANHALL,HEGEMANFL 2C,HEGEMAN208,HEGEMAN208 208A,HEGEMAN208 208A-1,Single(Suite/Apartment),3,Male,24-25 SubstanceFree,"
"1099,HEGEMANHALL,HEGEMANFL 2C,HEGEMAN208,HEGEMAN208 208B,HEGEMAN208 208B-1,Single(Suite/Apartment),3,Male,24-25 SubstanceFree,"
"1100,HEGEMANHALL,HEGEMANFL 2C,HEGEMAN209,HEGEMAN209 209A,HEGEMAN209 209A-1,Single(Suite/Apartment),3,CoEd,24-25 SubstanceFree,"
"1101,HEGEMANHALL,HEGEMANFL 2C,HEGEMAN209,HEGEMAN209 209B,HEGEMAN209 209B-1,Single(Suite/Apartment),3,CoEd,24-25 SubstanceFree,"
"1102,HEGEMANHALL,HEGEMANFL 2C,HEGEMAN209,HEGEMAN209 209C,HEGEMAN209 209C-1,Single(Suite/Apartment),3,CoEd,24-25 SubstanceFree,"
"1103,HEGEMANHALL,HEGEMANFL 2D,HEGEMAN210,HEGEMAN210 210A,HEGEMAN210 210A-1,Single(Suite/Apartment),3,CoEd,24-25 SubstanceFree,"
"1104,HEGEMANHALL,HEGEMANFL 2D,HEGEMAN210,HEGEMAN210 210B,HEGEMAN210 210B-1,Single(Suite/Apartment),3,CoEd,24-25 SubstanceFree,"
"1105,HEGEMANHALL,HEGEMANFL 2D,HEGEMAN210,HEGEMAN210 210C,HEGEMAN210 210C-1,Single(Suite/Apartment),3,CoEd,24-25 SubstanceFree,"
"1106,HEGEMANHALL,HEGEMANFL 2D,HEGEMAN211,HEGEMAN211 211A,HEGEMAN211 211A-1,Single(Suite/Apartment),3,CoEd,24-25 SubstanceFree,"
"1107,HEGEMANHALL,HEGEMANFL 2D,HEGEMAN211,HEGEMAN211 211B,HEGEMAN211 211B-1,Single(Suite/Apartment),3,CoEd,24-25 SubstanceFree,"
"1108,HEGEMANHALL,HEGEMANFL 2D,HEGEMAN211,HEGEMAN211 211C,HEGEMAN211 211C-1,Single(Suite/Apartment),3,CoEd,24-25 SubstanceFree,"
"1109,HEGEMANHALL,HEGEMANFL 2E,HEGEMAN212,HEGEMAN212,HEGEMAN212-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1110,HEGEMANHALL,HEGEMANFL 2E,HEGEMAN212,HEGEMAN212,HEGEMAN212-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1111,HEGEMANHALL,HEGEMANFL 2E,HEGEMAN214,HEGEMAN214 214A,HEGEMAN214 214A-1,Single(Suite/Apartment),2,CoEd,24-25 SpringGeneralSelection,"
"1112,HEGEMANHALL,HEGEMANFL 2E,HEGEMAN215,HEGEMAN215 215A,HEGEMAN215 215A-1,Single(Suite/Apartment),3,CoEd,24-25 SpringGeneralSelection,"
"1113,HEGEMANHALL,HEGEMANFL 2E,HEGEMAN215,HEGEMAN215 215B,HEGEMAN215 215B-1,Single(Suite/Apartment),3,CoEd,24-25 SpringGeneralSelection,"
"1114,HEGEMANHALL,HEGEMANFL 2E,HEGEMAN215,HEGEMAN215 215C,HEGEMAN215 215C-1,Single(Suite/Apartment),3,CoEd,24-25 SpringGeneralSelection,"
"1115,HEGEMANHALL,HEGEMANFL 3A,HEGEMAN301,HEGEMAN301 301A,HEGEMAN301 301A-1,Single(Suite/Apartment),3,CoEd,24-25 SubstanceFree,"
"1116,HEGEMANHALL,HEGEMANFL 3A,HEGEMAN301,HEGEMAN301 301B,HEGEMAN301 301B-1,Single(Suite/Apartment),3,CoEd,24-25 SubstanceFree,"
"1117,HEGEMANHALL,HEGEMANFL 3A,HEGEMAN301,HEGEMAN301 301C,HEGEMAN301 301C-1,Single(Suite/Apartment),3,CoEd,24-25 SubstanceFree,"
"1118,HEGEMANHALL,HEGEMANFL 3A,HEGEMAN302,HEGEMAN302,HEGEMAN302-1,Single,,CoEd,24-25 SubstanceFree,"
"1119,HEGEMANHALL,HEGEMANFL 3A,HEGEMAN303,HEGEMAN303 303A,HEGEMAN303 303A-1,Single(Suite/Apartment),3,CoEd,24-25 SubstanceFree,"
"1120,HEGEMANHALL,HEGEMANFL 3A,HEGEMAN303,HEGEMAN303 303B,HEGEMAN303 303B-1,Single(Suite/Apartment),3,CoEd,24-25 SubstanceFree,"
"1121,HEGEMANHALL,HEGEMANFL 3A,HEGEMAN303,HEGEMAN303 303C,HEGEMAN303 303C-1,Single(Suite/Apartment),3,CoEd,24-25 SubstanceFree,"
"1122,HEGEMANHALL,HEGEMANFL 3B,HEGEMAN304,HEGEMAN304 304A,HEGEMAN304 304A-1,Single(Suite/Apartment),3,CoEd,24-25 SubstanceFree,"
"1123,HEGEMANHALL,HEGEMANFL 3B,HEGEMAN304,HEGEMAN304 304B,HEGEMAN304 304B-1,Single(Suite/Apartment),3,CoEd,24-25 SubstanceFree,"
"1124,HEGEMANHALL,HEGEMANFL 3B,HEGEMAN304,HEGEMAN304 304C,HEGEMAN304 304C-1,Single(Suite/Apartment),3,CoEd,24-25 SubstanceFree,"
"1125,HEGEMANHALL,HEGEMANFL 3B,HEGEMAN305,HEGEMAN305,HEGEMAN305-1,Double,,CoEd,24-25 SubstanceFree,"
"1126,HEGEMANHALL,HEGEMANFL 3B,HEGEMAN305,HEGEMAN305,HEGEMAN305-2,Double,,CoEd,24-25 SubstanceFree,"
"1127,HEGEMANHALL,HEGEMANFL 3B,HEGEMAN306,HEGEMAN306 306A,HEGEMAN306 306A-1,Single(Suite/Apartment),3,CoEd,24-25 SubstanceFree,"
"1128,HEGEMANHALL,HEGEMANFL 3B,HEGEMAN306,HEGEMAN306 306B,HEGEMAN306 306B-1,Single(Suite/Apartment),3,CoEd,24-25 SubstanceFree,"

",A,B,C,D,E,F,G,H,I,"
"1129,HEGEMANHALL,HEGEMANFL 3B,HEGEMAN306,HEGEMAN306 306C,HEGEMAN306 306C-1,Single(Suite/Apartment),3,CoEd,24-25 SubstanceFree,"
"1130,HEGEMANHALL,HEGEMANFL 3C,HEGEMAN307,HEGEMAN307 307A,HEGEMAN307 307A-1,Single(Suite/Apartment),3,CoEd,24-25 SubstanceFree,"
"1131,HEGEMANHALL,HEGEMANFL 3C,HEGEMAN307,HEGEMAN307 307B,HEGEMAN307 307B-1,Single(Suite/Apartment),3,CoEd,24-25 SubstanceFree,"
"1132,HEGEMANHALL,HEGEMANFL 3C,HEGEMAN307,HEGEMAN307 307C,HEGEMAN307 307C-1,Single(Suite/Apartment),3,CoEd,24-25 SubstanceFree,"
"1133,HEGEMANHALL,HEGEMANFL 3C,HEGEMAN308,HEGEMAN308 308A,HEGEMAN308 308A-1,Single(Suite/Apartment),3,CoEd,24-25 SubstanceFree,"
"1134,HEGEMANHALL,HEGEMANFL 3C,HEGEMAN308,HEGEMAN308 308B,HEGEMAN308 308B-1,Single(Suite/Apartment),3,CoEd,24-25 SubstanceFree,"
"1135,HEGEMANHALL,HEGEMANFL 3C,HEGEMAN308,HEGEMAN308 308C,HEGEMAN308 308C-1,Single(Suite/Apartment),3,CoEd,24-25 SubstanceFree,"
"1136,HEGEMANHALL,HEGEMANFL 3D,HEGEMAN309,HEGEMAN309 309A,HEGEMAN309 309A-1,Single(Suite/Apartment),3,CoEd,24-25 SubstanceFree,"
"1137,HEGEMANHALL,HEGEMANFL 3D,HEGEMAN309,HEGEMAN309 309B,HEGEMAN309 309B-1,Single(Suite/Apartment),3,CoEd,24-25 SubstanceFree,"
"1138,HEGEMANHALL,HEGEMANFL 3D,HEGEMAN309,HEGEMAN309 309C,HEGEMAN309 309C-1,Single(Suite/Apartment),3,CoEd,24-25 SubstanceFree,"
"1139,HEGEMANHALL,HEGEMANFL 3D,HEGEMAN310,HEGEMAN310 310A,HEGEMAN310 310A-1,Single(Suite/Apartment),3,CoEd,24-25 SubstanceFree,"
"1140,HEGEMANHALL,HEGEMANFL 3D,HEGEMAN310,HEGEMAN310 310B,HEGEMAN310 310B-1,Single(Suite/Apartment),3,CoEd,24-25 SubstanceFree,"
"1141,HEGEMANHALL,HEGEMANFL 3D,HEGEMAN310,HEGEMAN310 310C,HEGEMAN310 310C-1,Single(Suite/Apartment),3,CoEd,24-25 SubstanceFree,"
"1142,HEGEMANHALL,HEGEMANFL 4C,HEGEMAN401,HEGEMAN401 401A,HEGEMAN401 401A-1,Single(Suite/Apartment),3,CoEd,24-25 SubstanceFree,"
"1143,HEGEMANHALL,HEGEMANFL 4C,HEGEMAN401,HEGEMAN401 401B,HEGEMAN401 401B-1,Single(Suite/Apartment),3,CoEd,24-25 SubstanceFree,"
"1144,HEGEMANHALL,HEGEMANFL 4C,HEGEMAN401,HEGEMAN401 401C,HEGEMAN401 401C-1,Single(Suite/Apartment),3,CoEd,24-25 SubstanceFree,"
"1145,HEGEMANHALL,HEGEMANFL 4C,HEGEMAN402,HEGEMAN402 402A,HEGEMAN402 402A-1,Single(Suite/Apartment),3,CoEd,24-25 SubstanceFree,"
"1146,HEGEMANHALL,HEGEMANFL 4C,HEGEMAN402,HEGEMAN402 402B,HEGEMAN402 402B-1,Single(Suite/Apartment),3,CoEd,24-25 SubstanceFree,"
"1147,HEGEMANHALL,HEGEMANFL 4C,HEGEMAN402,HEGEMAN402 402C,HEGEMAN402 402C-1,Single(Suite/Apartment),3,CoEd,24-25 SubstanceFree,"
"1148,HEGEMANHALL,HEGEMANFL 4D,HEGEMAN403,HEGEMAN403 403A,HEGEMAN403 403A-1,Single(Suite/Apartment),3,CoEd,24-25 SubstanceFree,"
"1149,HEGEMANHALL,HEGEMANFL 4D,HEGEMAN403,HEGEMAN403 403B,HEGEMAN403 403B-1,Single(Suite/Apartment),3,CoEd,24-25 SubstanceFree,"
"1150,HEGEMANHALL,HEGEMANFL 4D,HEGEMAN403,HEGEMAN403 403C,HEGEMAN403 403C-1,Single(Suite/Apartment),3,CoEd,24-25 SubstanceFree,"
"1151,HEGEMANHALL,HEGEMANFL 4D,HEGEMAN404,HEGEMAN404 404A,HEGEMAN404 404A-1,Single(Suite/Apartment),3,CoEd,24-25 SubstanceFree,"
"1152,HEGEMANHALL,HEGEMANFL 4D,HEGEMAN404,HEGEMAN404 404B,HEGEMAN404 404B-1,Single(Suite/Apartment),3,CoEd,24-25 SubstanceFree,"
"1153,HEGEMANHALL,HEGEMANFL 4D,HEGEMAN404,HEGEMAN404 404C,HEGEMAN404 404C-1,Single(Suite/Apartment),3,CoEd,24-25 SubstanceFree,"
"1154,HOPECOLLEGE,HOPEFL1,HOPE106,HOPE106,HOPE106-1,Single,,CoEd,24-25 SpringGeneralSelection,"
"1155,HOPECOLLEGE,HOPEFL1,HOPE107,HOPE107,HOPE107-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1156,HOPECOLLEGE,HOPEFL1,HOPE107,HOPE107,HOPE107-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1157,HOPECOLLEGE,HOPEFL1,HOPE108,HOPE108,HOPE108-1,Single,,CoEd,24-25 SpringGeneralSelection,"
"1158,HOPECOLLEGE,HOPEFL1,HOPE112,HOPE112,HOPE112-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1159,HOPECOLLEGE,HOPEFL1,HOPE112,HOPE112,HOPE112-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1160,HOPECOLLEGE,HOPEFL1,HOPE119,HOPE119,HOPE119-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1161,HOPECOLLEGE,HOPEFL1,HOPE119,HOPE119,HOPE119-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1162,HOPECOLLEGE,HOPEFL1,HOPE120,HOPE120,HOPE120-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1163,HOPECOLLEGE,HOPEFL1,HOPE120,HOPE120,HOPE120-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1164,HOPECOLLEGE,HOPEFL2,HOPE203,HOPE203,HOPE203-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1165,HOPECOLLEGE,HOPEFL2,HOPE203,HOPE203,HOPE203-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1166,HOPECOLLEGE,HOPEFL2,HOPE207,HOPE207,HOPE207-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1167,HOPECOLLEGE,HOPEFL2,HOPE207,HOPE207,HOPE207-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1168,HOPECOLLEGE,HOPEFL2,HOPE217,HOPE217,HOPE217-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1169,HOPECOLLEGE,HOPEFL2,HOPE217,HOPE217,HOPE217-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1170,HOPECOLLEGE,HOPEFL2,HOPE219,HOPE219,HOPE219-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1171,HOPECOLLEGE,HOPEFL2,HOPE219,HOPE219,HOPE219-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1172,HOPECOLLEGE,HOPEFL2,HOPE220,HOPE220,HOPE220-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1173,HOPECOLLEGE,HOPEFL2,HOPE220,HOPE220,HOPE220-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1174,HOPECOLLEGE,HOPEFL3,HOPE312,HOPE312,HOPE312-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1175,HOPECOLLEGE,HOPEFL3,HOPE312,HOPE312,HOPE312-2,Double,,CoEd,24-25 SpringGeneralSelection,"

",A,B,C,D,E,F,G,H,I,"
"1176,HOPECOLLEGE,HOPEFL3,HOPE315,HOPE315,HOPE315-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1177,HOPECOLLEGE,HOPEFL3,HOPE315,HOPE315,HOPE315-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1178,HOPECOLLEGE,HOPEFL4,HOPE401,HOPE401,HOPE401-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1179,HOPECOLLEGE,HOPEFL4,HOPE401,HOPE401,HOPE401-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1180,HOPECOLLEGE,HOPEFL4,HOPE402,HOPE402,HOPE402-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1181,HOPECOLLEGE,HOPEFL4,HOPE402,HOPE402,HOPE402-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1182,HOPECOLLEGE,HOPEFL4,HOPE403,HOPE403,HOPE403-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1183,HOPECOLLEGE,HOPEFL4,HOPE403,HOPE403,HOPE403-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1184,HOPECOLLEGE,HOPEFL4,HOPE407,HOPE407,HOPE407-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1185,HOPECOLLEGE,HOPEFL4,HOPE407,HOPE407,HOPE407-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1186,HOPECOLLEGE,HOPEFL4,HOPE408,HOPE408,HOPE408-1,Single,,CoEd,24-25 SpringGeneralSelection,"
"1187,HOPECOLLEGE,HOPEFL4,HOPE412,HOPE412,HOPE412-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1188,HOPECOLLEGE,HOPEFL4,HOPE412,HOPE412,HOPE412-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1189,HOPECOLLEGE,HOPEFL4,HOPE415,HOPE415,HOPE415-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1190,HOPECOLLEGE,HOPEFL4,HOPE415,HOPE415,HOPE415-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1191,HOPECOLLEGE,HOPEFL4,HOPE417,HOPE417,HOPE417-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1192,HOPECOLLEGE,HOPEFL4,HOPE417,HOPE417,HOPE417-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1193,HOPECOLLEGE,HOPEFL4,HOPE419,HOPE419,HOPE419-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1194,HOPECOLLEGE,HOPEFL4,HOPE419,HOPE419,HOPE419-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1195,HOPECOLLEGE,HOPEFL4,HOPE420,HOPE420,HOPE420-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1196,HOPECOLLEGE,HOPEFL4,HOPE420,HOPE420,HOPE420-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1197,KINGHOUSE,KINGFL 2,KING202,KING202,KING202-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1198,KINGHOUSE,KINGFL 2,KING202,KING202,KING202-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1199,KINGHOUSE,KINGFL 2,KING203,KING203,KING203-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1200,KINGHOUSE,KINGFL 2,KING203,KING203,KING203-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1201,KINGHOUSE,KINGFL 2,KING204,KING204,KING204-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1202,KINGHOUSE,KINGFL 2,KING204,KING204,KING204-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1203,KINGHOUSE,KINGFL 2,KING208,KING208,KING208-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1204,KINGHOUSE,KINGFL 2,KING208,KING208,KING208-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1205,KINGHOUSE,KINGFL 3,KING303,KING303,KING303-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1206,KINGHOUSE,KINGFL 3,KING303,KING303,KING303-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1207,LITTLEFIELD HALL,LITTLEFLD FL1,LITTLEFLD 101,LITTLEFLD 101,LITTLEFLD 101-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1208,LITTLEFIELD HALL,LITTLEFLD FL1,LITTLEFLD 101,LITTLEFLD 101,LITTLEFLD 101-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1209,LITTLEFIELD HALL,LITTLEFLD FL1,LITTLEFLD 102,LITTLEFLD 102,LITTLEFLD 102-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1210,LITTLEFIELD HALL,LITTLEFLD FL1,LITTLEFLD 102,LITTLEFLD 102,LITTLEFLD 102-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1211,LITTLEFIELD HALL,LITTLEFLD FL1,LITTLEFLD 105,LITTLEFLD 105,LITTLEFLD 105-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1212,LITTLEFIELD HALL,LITTLEFLD FL1,LITTLEFLD 105,LITTLEFLD 105,LITTLEFLD 105-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1213,LITTLEFIELD HALL,LITTLEFLD FL1,LITTLEFLD 106,LITTLEFLD 106,LITTLEFLD 106-1,Single,,CoEd,24-25 SpringGeneralSelection,"
"1214,LITTLEFIELD HALL,LITTLEFLD FL1,LITTLEFLD 107,LITTLEFLD 107,LITTLEFLD 107-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1215,LITTLEFIELD HALL,LITTLEFLD FL1,LITTLEFLD 107,LITTLEFLD 107,LITTLEFLD 107-2,Double,,CoEd,24-25 SpringGeneralSelection,"
