"57,BARBOURHALL,BARBOURFL3,BARBOUR303,BARBOUR303,BARBOUR303-1,Triple,,CoEd,24-25 SpringGeneralSelection,"
"58,BARBOURHALL,BARBOURFL3,BARBOUR303,BARBOUR303,BARBOUR303-2,Triple,,CoEd,24-25 SpringGeneralSelection,"
"59,BARBOURHALL,BARBOURFL3,BARBOUR303,BARBOUR303,BARBOUR303-3,Triple,,CoEd,24-25 SpringGeneralSelection,"
"60,BARBOURHALL,BARBOURFL3,BARBOUR305,BARBOUR305,BARBOUR305-1,Double (Suite/Apartment),2,CoEd,24-25 SpringGeneralSelection,"
"61,BARBOURHALL,BARBOURFL3,BARBOUR305,BARBOUR305,BARBOUR305-2,Double (Suite/Apartment),2,CoEd,24-25 SpringGeneralSelection,"
"62,BARBOURHALL,BARBOURFL3,BARBOUR306,BARBOUR306,BARBOUR306-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"63,BARBOURHALL,BARBOURFL3,BARBOUR306,BARBOUR306,BARBOUR306-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"64,BARBOURHALL,BARBOURFL3,BARBOUR308,BARBOUR308,BARBOUR308-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"65,BARBOURHALL,BARBOURFL3,BARBOUR308,BARBOUR308,BARBOUR308-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"66,BARBOURHALL,BARBOURFL3 APT,BARBOUR350,BARBOUR350352,BARBOUR350352-1,Triple(Suite/Apartment),5,CoEd,24-25 SpringGeneralSelection,"
"67,BARBOURHALL,BARBOURFL3 APT,BARBOUR350,BARBOUR350352,BARBOUR350352-2,Triple(Suite/Apartment),5,CoEd,24-25 SpringGeneralSelection,"
"68,BARBOURHALL,BARBOURFL3 APT,BARBOUR350,BARBOUR350352,BARBOUR350352-3,Triple(Suite/Apartment),5,CoEd,24-25 SpringGeneralSelection,"
"69,BARBOURHALL,BARBOURFL3 APT,BARBOUR350,BARBOUR350355,BARBOUR350355-1,Double (Suite/Apartment),5,CoEd,24-25 SpringGeneralSelection,"
"70,BARBOURHALL,BARBOURFL3 APT,BARBOUR350,BARBOUR350355,BARBOUR350355-2,Double (Suite/Apartment),5,CoEd,24-25 SpringGeneralSelection,"
"71,BARBOURHALL,BARBOURFL3 APT,BARBOUR360,BARBOUR360363,BARBOUR360363-1,Single(Suite/Apartment),5,CoEd,24-25 SpringGeneralSelection,"
"72,BARBOURHALL,BARBOURFL3 APT,BARBOUR360,BARBOUR360364,BARBOUR360364-1,Double (Suite/Apartment),5,CoEd,24-25 SpringGeneralSelection,"
"73,BARBOURHALL,BARBOURFL3 APT,BARBOUR360,BARBOUR360364,BARBOUR360364-2,Double (Suite/Apartment),5,CoEd,24-25 SpringGeneralSelection,"
"74,BARBOURHALL,BARBOURFL3 APT,BARBOUR360,BARBOUR360365,BARBOUR360365-1,Double (Suite/Apartment),5,CoEd,24-25 SpringGeneralSelection,"
"75,BARBOURHALL,BARBOURFL3 APT,BARBOUR360,BARBOUR360365,BARBOUR360365-2,Double (Suite/Apartment),5,CoEd,24-25 SpringGeneralSelection,"
"76,BARBOURHALL,BARBOURFL3 APT,BARBOUR370,BARBOUR370371,BARBOUR370371-1,Double (Suite/Apartment),4,CoEd,24-25 SpringGeneralSelection,"
"77,BARBOURHALL,BARBOURFL3 APT,BARBOUR370,BARBOUR370371,BARBOUR370371-2,Double (Suite/Apartment),4,CoEd,24-25 SpringGeneralSelection,"
"78,BARBOURHALL,BARBOURFL3 APT,BARBOUR370,BARBOUR370374,BARBOUR370374-1,Double (Suite/Apartment),4,CoEd,24-25 SpringGeneralSelection,"
"79,BARBOURHALL,BARBOURFL3 APT,BARBOUR370,BARBOUR370374,BARBOUR370374-2,Double (Suite/Apartment),4,CoEd,24-25 SpringGeneralSelection,"
"80,BARBOURHALL,BARBOURFL3 APT,BARBOUR390,BARBOUR390393,BARBOUR390393-1,Double (Suite/Apartment),4,CoEd,24-25 SpringGeneralSelection,"
"81,BARBOURHALL,BARBOURFL3 APT,BARBOUR390,BARBOUR390393,BARBOUR390393-2,Double (Suite/Apartment),4,CoEd,24-25 SpringGeneralSelection,"
"82,BUXTON HOUSE,BUXTON FL 1,BUXTON 101,BUXTON 101,BUXTON 101-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"83,BUXTON HOUSE,BUXTON FL 1,BUXTON 101,BUXTON 101,BUXTON 101-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"84,BUXTON HOUSE,BUXTON FL 1,BUXTON 102,BUXTON 102,BUXTON 102-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"85,BUXTON HOUSE,BUXTON FL 1,BUXTON 102,BUXTON 102,BUXTON 102-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"86,BUXTON HOUSE,BUXTON FL 2,BUXTON 201,BUXTON 201,BUXTON 201-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"87,BUXTON HOUSE,BUXTON FL 2,BUXTON 201,BUXTON 201,BUXTON 201-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"88,BUXTON HOUSE,BUXTON FL 2,BUXTON 202,BUXTON 202,BUXTON 202-1,Double,,CoEd,24-25 SpringGeneralSelection,"
